  PID TTY          TIME CMD
 1972 ?        00:00:00 gnome-pty-helpe
 1973 pts/7    00:00:00 bash
 2023 ?        00:01:24 code
 2025 ?        00:00:00 code
 2062 ?        00:03:03 code
 2065 ?        00:00:30 code
 2111 ?        00:00:26 code
 2112 ?        00:00:02 code
 2113 ?        00:00:01 code
 2120 ?        00:00:05 code
 2140 pts/18   00:00:00 bash
 2235 ?        00:00:05 python
 2296 ?        00:00:04 kworker/u8:0
 2331 ?        00:00:02 kworker/u8:2
 2444 ?        00:00:03 kworker/0:1
 2649 ?        00:01:43 chromium-browse
 2664 ?        00:00:01 chromium-browse
 2666 ?        00:00:00 chromium-browse
 2755 ?        00:00:37 chromium-browse
 2799 ?        00:00:00 kworker/1:1
 2840 ?        00:04:04 chromium-browse
 2889 ?        00:00:00 kworker/0:2
 2979 ?        00:00:01 kworker/1:2
 3003 ?        00:00:00 kworker/u8:1
 3191 ?        00:01:20 chromium-browse
 3199 ?        00:00:00 kworker/0:0
 3212 ?        00:00:00 kworker/u8:3
 3233 ?        00:00:00 kworker/1:0
 3253 pts/18   00:00:00 ps
